feature,coef,exp(coef),exp(coef) lower 95%,exp(coef) upper 95%,p
City_Lemoore,2.878983144982441,17.796167853351335,1.9911710373347562,159.0539357626319,0.00998724163167133
City_Smith River,2.7756049615413487,16.048332683652056,4.501355343748538,57.21587438833453,1.8739820363906124e-05
City_Lotus,2.1657779473603296,8.72138405614041,1.0669496205127573,71.28972014456112,0.04334001335850648
City_Piru,2.0811977579973564,8.014062074948606,1.7479556839776635,36.743031605342615,0.0073896985855041
City_Carmel,1.9723303660347338,7.187406274973309,0.8048094695048768,64.1876256666146,0.0774667791892512
City_Bradley,1.932738511448934,6.908403101604988,1.5974703446446645,29.87600588283936,0.009683298556826573
City_Rescue,1.9018247623595204,6.698105748775103,0.761331562447618,58.929148395658316,0.08649528216979512
City_Emeryville,1.854404774488186,6.387894880801979,1.4695939629818435,27.76630963111834,0.013380710055646687
City_Niland,1.8540408122070458,6.385570351055713,0.7353059673751304,55.453798170359974,0.09273093504795159
City_Truckee,1.8036245450774704,6.071614470503438,2.15292456775137,17.122988343678948,0.0006506400563781347
