Model,Threshold,Precision,Recall,F1,Confusion_Matrix
Ridge Logistic (L2),0.2,0.3978021978021978,0.9679144385026738,0.5638629283489096,"[[487, 548], [12, 362]]"
Ridge Logistic (L2),0.3,0.43312101910828027,0.9090909090909091,0.5867126833477135,"[[590, 445], [34, 340]]"
Ridge Logistic (L2),0.4,0.48208955223880595,0.8636363636363636,0.6187739463601533,"[[688, 347], [51, 323]]"
Ridge Logistic (L2),0.5,0.5242369838420108,0.7807486631016043,0.6272824919441461,"[[770, 265], [82, 292]]"
Ridge Logistic (L2),0.6,0.5607675906183369,0.7032085561497327,0.6239620403321471,"[[829, 206], [111, 263]]"
