Model,CV_ROC_AUC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_ROC_AUC,Test_PR_AUC,Brier_Score,Confusion_Matrix,Best_Params
Elastic Net Logistic,0.8578711385727887,0.7459190915542938,0.5140845070422535,0.7807486631016043,0.6199575371549894,0.8484460978067117,0.6452451440493054,0.16414952317220152,"[[759, 276], [82, 292]]","{'model__C': 0.1, 'model__l1_ratio': 0.2}"
Ridge Logistic (L2),0.857709714962111,0.7537260468417317,0.5242369838420108,0.7807486631016043,0.6272824919441461,0.8477460022217056,0.6465748397992812,0.16370240330913757,"[[770, 265], [82, 292]]",{'model__C': 0.1}
Lasso Logistic (L1),0.8572134729689423,0.7423704755145494,0.5095986038394416,0.7807486631016043,0.6166842661034847,0.8476452504585497,0.6465527638556547,0.1643702995247679,"[[754, 281], [82, 292]]",{'model__C': 0.1}
Logistic Regression (balanced),0.8482325476832692,0.751596877217885,0.522140221402214,0.7566844919786097,0.6179039301310044,0.8366400578676794,0.6256507366827931,0.1649114092285804,"[[776, 259], [91, 283]]",
