Model,Threshold,Precision,Recall,F1,Confusion_Matrix
Elastic Net Logistic,0.2,0.39585605234460197,0.9705882352941176,0.5623547637490317,"[[481, 554], [11, 363]]"
Elastic Net Logistic,0.3,0.4332909783989835,0.9117647058823529,0.5874246339362619,"[[589, 446], [33, 341]]"
Elastic Net Logistic,0.4,0.47514619883040937,0.8689839572192514,0.6143667296786389,"[[676, 359], [49, 325]]"
Elastic Net Logistic,0.5,0.5140845070422535,0.7807486631016043,0.6199575371549894,"[[759, 276], [82, 292]]"
Elastic Net Logistic,0.6,0.5635593220338984,0.7112299465240641,0.6288416075650118,"[[829, 206], [108, 266]]"
