threshold,n_targeted,n_true_churners_caught,n_saved,revenue_saved,total_offer_cost,net_roi,roi_percent
0.2,673,323,96.89999999999999,75581.99999999999,33650.0,41931.999999999985,124.61218424962848
0.3,506,277,83.1,64818.0,25300.0,39518.0,156.19762845849803
0.4,410,243,72.89999999999999,56861.999999999985,20500.0,36361.999999999985,177.3756097560975
0.5,312,208,62.4,48672.0,15600.0,33072.0,212.0
0.6,214,154,46.199999999999996,36035.99999999999,10700.0,25335.999999999993,236.7850467289719
